"","ModuleID","Species","GeneID"
"1",1,"AEP","g1036"
"2",1,"AEP","g10788"
"3",1,"AEP","g10789"
"4",1,"AEP","g11956"
"5",1,"AEP","g12073"
"6",1,"AEP","g12074"
"7",1,"AEP","g12877"
"8",1,"AEP","g13315"
"9",1,"AEP","g13323"
"10",1,"AEP","g13331"
"11",1,"AEP","g13334"
"12",1,"AEP","g12075"
"13",1,"AEP","g14295"
"14",1,"AEP","g13747"
"15",1,"AEP","g14439"
"16",1,"AEP","g14515"
"17",1,"AEP","g15385"
"18",1,"AEP","g15380"
"19",1,"AEP","g13667"
"20",1,"AEP","g15541"
"21",1,"AEP","g15573"
"22",1,"AEP","g15381"
"23",1,"AEP","g10364"
"24",1,"AEP","g17041"
"25",1,"AEP","g16718"
"26",1,"AEP","g13749"
"27",1,"AEP","g17493"
"28",1,"AEP","g15386"
"29",1,"AEP","g19357"
"30",1,"AEP","g19707"
"31",1,"AEP","g18764"
"32",1,"AEP","g16717"
"33",1,"AEP","g2013"
"34",1,"AEP","g20965"
"35",1,"AEP","g17356"
"36",1,"AEP","g2061"
"37",1,"AEP","g21804"
"38",1,"AEP","g21999"
"39",1,"AEP","g22744"
"40",1,"AEP","g24499"
"41",1,"AEP","g21247"
"42",1,"AEP","g24659"
"43",1,"AEP","g24728"
"44",1,"AEP","g23352"
"45",1,"AEP","g26298"
"46",1,"AEP","g26299"
"47",1,"AEP","g26475"
"48",1,"AEP","g26476"
"49",1,"AEP","g26523"
"50",1,"AEP","g26618"
"51",1,"AEP","g27713"
"52",1,"AEP","g28661"
"53",1,"AEP","g29286"
"54",1,"AEP","g27717"
"55",1,"AEP","g29772"
"56",1,"AEP","g29951"
"57",1,"AEP","g26477"
"58",1,"AEP","g29986"
"59",1,"AEP","g32356"
"60",1,"AEP","g18426"
"61",1,"AEP","g31668"
"62",1,"AEP","g32713"
"63",1,"AEP","g30551"
"64",1,"AEP","g3622"
"65",1,"AEP","g3625"
"66",1,"AEP","g3626"
"67",1,"AEP","g5116"
"68",1,"AEP","g1041"
"69",1,"AEP","g4483"
"70",1,"AEP","g5113"
"71",1,"AEP","g6564"
"72",1,"AEP","g7084"
"73",1,"AEP","g610"
"74",1,"AEP","g9261"
"75",1,"AEP","g9264"
"76",1,"AEP","g9813"
"77",1,"AEP","g16719"
"78",1,"AEP","g26706"
"79",1,"AEP","g27180"
"80",1,"AEP","g5111"
"81",1,"AEP","g5112"
"82",1,"AEP","g5114"
"83",1,"AEP","g5120"
"84",1,"AEP","g6566"
"85",1,"AEP","g811"
"86",1,"AEP","g9030"
"87",1,"AEP","g9814"
"88",1,"OLI","R037773c2g1_i18"
"89",1,"OLI","R023657c0g2_i01"
"90",1,"OLI","R041328c0g3_i01"
"91",1,"OLI","R041328c0g2_i01"
"92",1,"OLI","R040926c0g2_i01"
"93",1,"OLI","R041307c1g3_i04"
"94",1,"OLI","R038584c0g1_i01"
"95",1,"OLI","R039050c0g1_i01"
"96",1,"OLI","R040510c2g1_i02"
"97",1,"OLI","R035980c0g3_i01"
"98",1,"OLI","R041307c0g2_i01"
"99",1,"OLI","R036786c0g1_i01"
"100",1,"OLI","R040893c0g1_i01"
"101",1,"OLI","R040447c0g2_i03"
"102",1,"OLI","R038771c0g1_i04"
"103",1,"OLI","R040652c0g1_i02"
"104",1,"OLI","R031378c0g1_i01"
"105",1,"OLI","R033626c0g1_i01"
"106",1,"OLI","R007982c0g1_i01"
"107",1,"OLI","R041259c0g1_i01"
"108",1,"OLI","R039035c0g1_i01"
"109",1,"OLI","R040679c3g1_i09"
"110",1,"OLI","R040782c0g1_i01"
"111",1,"OLI","R040453c6g2_i02"
"112",1,"OLI","R039841c0g1_i01"
"113",1,"OLI","R041307c0g1_i01"
"114",1,"OLI","R040413c0g2_i01"
"115",1,"OLI","R039908c1g1_i01"
"116",1,"OLI","R036072c0g1_i02"
"117",1,"OLI","R038949c0g1_i01"
"118",1,"OLI","R034499c0g1_i01"
"119",1,"OLI","R040271c3g2_i05"
"120",1,"OLI","R041051c0g1_i01"
"121",1,"OLI","R040222c0g1_i02"
"122",1,"OLI","R040179c0g1_i01"
"123",1,"OLI","R034351c0g2_i04"
"124",1,"OLI","R036314c0g1_i07"
"125",1,"OLI","R013534c0g1_i01"
"126",1,"OLI","R038834c0g1_i01"
"127",1,"OLI","R040085c0g1_i07"
"128",1,"OLI","R040893c1g4_i01"
"129",1,"OLI","R036226c0g1_i01"
"130",1,"OLI","R040842c0g4_i03"
"131",1,"OLI","R040842c0g2_i01"
"132",1,"OLI","R041307c2g7_i02"
"133",1,"OLI","R040731c0g2_i01"
"134",2,"AEP","g10044"
"135",2,"AEP","g2657"
"136",2,"OLI","R037601c0g1_i03"
"137",3,"AEP","g10165"
"138",3,"AEP","g10166"
"139",3,"OLI","R040256c0g1_i02"
"140",4,"AEP","g10253"
"141",4,"OLI","R033563c0g1_i01"
"142",5,"AEP","g10565"
"143",5,"OLI","R038883c0g1_i01"
"144",6,"AEP","g12219"
"145",6,"AEP","g19181"
"146",6,"OLI","R036104c0g1_i01"
"147",7,"AEP","g13669"
"148",7,"AEP","g14256"
"149",7,"OLI","R033827c0g3_i01"
"150",8,"AEP","g14070"
"151",8,"AEP","g14071"
"152",8,"AEP","g14072"
"153",9,"AEP","g11950"
"154",9,"OLI","R039711c0g1_i06"
"155",10,"AEP","g12991"
"156",10,"OLI","R035030c0g1_i01"
"157",11,"AEP","g13418"
"158",11,"OLI","R033191c0g1_i01"
"159",12,"AEP","g14820"
"160",12,"AEP","g14821"
"161",12,"OLI","R040537c2g1_i08"
"162",13,"AEP","g14525"
"163",13,"OLI","R038479c0g1_i04"
"164",14,"AEP","g13906"
"165",14,"OLI","R036881c0g2_i04"
"166",15,"AEP","g14719"
"167",15,"OLI","R040369c1g1_i05"
"168",16,"AEP","g14731"
"169",16,"OLI","R039091c0g1_i04"
"170",17,"AEP","g12355"
"171",17,"OLI","R039098c0g1_i02"
"172",18,"AEP","g16169"
"173",18,"OLI","R035282c0g1_i01"
"174",19,"AEP","g14572"
"175",19,"OLI","R027983c0g1_i01"
"176",20,"AEP","g12549"
"177",20,"OLI","R030961c0g1_i01"
"178",21,"AEP","g13532"
