ID,length
g1,333
g10,609
g100,465
g1000,879
g10000,303
g10001,339
g10002,837
g10003,435
g10004,759
g10005,1995
g10006,597
g10007,405
g10008,1023
g10009,2880
g1001,927
g10010,339
g10011,303
g10012,1266
g10013,516
g10014,1560
g10015,651
g10016,591
g10017,918
g10018,462
g10019,294
g1002,1257
g10020,1368
g10021,327
g10022,969
g10023,759
g10024,480
g10025,369
g10026,1017
g10027,1539
g10028,282
g10029,657
g1003,1407
g10030,843
g10031,570
g10032,612
g10033,981
g10034,1188
g10035,1209
g10036,357
g10037,1392
g10038,345
g10039,1245
g1004,1947
g10040,2166
g10041,591
g10042,2574
g10043,279
g10044,1860
g10045,531
g10046,420
g10047,453
g10048,765
g10049,1554
g1005,222
g10050,1065
g10051,768
g10052,606
g10053,696
g10054,768
g10055,201
g10056,630
g10057,666
g10058,894
g10059,612
g1006,603
g10060,501
g10061,1146
g10062,1326
g10063,426
g10064,561
g10065,831
g10066,264
g10067,384
g10068,456
g10069,429
g1007,396
g10070,2322
g10071,1179
g10072,312
g10073,312
g10074,1227
g10075,528
g10076,393
g10077,2133
g10078,825
g10079,363
g1008,432
g10080,441
g10081,576
g10082,645
g10083,1005
g10084,2190
g10085,1275
g10086,333
g10087,381
g10088,2400
g10089,786
g1009,345
g10090,375
g10091,1992
g10092,630
g10093,567
g10094,378
g10095,1428
g10096,2232
g10097,420
g10098,555
g10099,267
g101,258
g1010,546
g10100,669
g10101,939
g10102,1044
g10103,417
g10104,345
g10105,414
g10106,1557
g10107,423
g10108,393
g10109,576
g1011,351
g10110,792
g10111,705
g10112,465
g10113,333
g10114,1278
g10115,249
g10116,1005
g10117,1896
g10118,1995
g10119,1311
g1012,888
g10120,303
g10121,1758
g10122,1710
g10123,1614
g10124,882
g10125,342
g10126,723
g10127,2688
g10128,384
g10129,348
g1013,1536
g10130,306
g10131,636
g10132,1032
g10133,1509
g10134,2745
g10135,387
g10136,3243
g10137,252
g10138,453
g10139,933
g1014,1326
g10140,975
g10141,774
g10142,1530
g10143,408
g10144,1983
g10145,990
g10146,597
g10147,570
g10148,1578
g10149,915
g1015,459
g10150,1791
g10151,267
g10152,600
g10153,462
g10154,1155
g10155,498
g10156,1593
g10157,297
g10158,348
g10159,780
g1016,552
g10160,423
g10161,1551
g10162,1266
g10163,1644
g10164,432
g10165,1764
g10166,2259
g10167,441
g10168,555
g10169,363
g1017,600
g10170,888
g10171,1167
g10172,672
g10173,1533
g10174,906
g10175,312
g10176,246
g10177,1869
g10178,609
g10179,1677
g1018,495
g10180,888
g10181,1254
g10182,1737
g10183,903
g10184,372
g10185,924
g10186,981
g10187,519
g10188,423
g10189,483
g1019,363
g10190,378
g10191,798
g10192,1050
g10193,276
g10194,420
g10195,261
g10196,792
g10197,396
g10198,1170
g10199,438
g102,687
g1020,522
g10200,756
g10201,639
g10202,234
g10203,603
g10204,609
g10205,1275
g10206,1056
g10207,555
g10208,909
g10209,1140
g1021,219
g10210,1527
g10211,858
g10212,2076
g10213,651
g10214,723
g10215,321
g10216,516
g10217,5037
g10218,480
g10219,354
g1022,660
g10220,330
g10221,861
g10222,843
g10223,1722
g10224,594
g10225,759
g10226,1125
g10227,936
g10228,675
g10229,201
g1023,453
g10230,3852
g10231,1209
g10232,780
g10233,393
g10234,867
g10235,1965
g10236,519
g10237,2541
g10238,729
g10239,2466
g1024,423
g10240,3036
g10241,627
g10242,291
g10243,219
g10244,927
g10245,2808
g10246,447
g10247,861
g10248,516
g10249,2967
g1025,1530
g10250,567
g10251,912
g10252,528
g10253,2310
g10254,225
g10255,2115
g10256,2643
g10257,1797
g10258,435
g10259,495
g1026,2325
g10260,375
g10261,339
g10262,663
g10263,1275
g10264,972
g10265,1173
g10266,435
g10267,300
g10268,381
g10269,411
g1027,444
g10270,579
g10271,1161
g10272,2910
g10273,855
g10274,960
g10275,954
g10276,1308
g10277,1704
g10278,417
g10279,945
g1028,432
g10280,945
g10281,882
g10282,2508
g10283,384
g10284,1056
g10285,732
g10286,525
g10287,3264
g10288,3216
g10289,741
g1029,828
g10290,615
g10291,315
g10292,3489
g10293,1014
g10294,1524
g10295,903
g10296,672
g10297,1176
g10298,2085
g10299,693
g103,1887
g1030,915
g10300,2007
g10301,1815
g10302,759
g10303,987
g10304,1710
g10305,918
g10306,684
g10307,408
g10308,639
g10309,1347
g1031,528
g10310,2580
g10311,495
g10312,1122
g10313,1326
g10314,1569
g10315,621
g10316,1686
g10317,1344
g10318,2226
g10319,282
g1032,906
g10320,1455
g10321,1701
g10322,1869
g10323,420
g10324,2037
g10325,1290
g10326,435
g10327,3060
g10328,768
g10329,1680
g1033,468
g10330,1131
g10331,885
g10332,4311
g10333,1671
g10334,288
g10335,234
g10336,1068
g10337,783
g10338,1377
g10339,297
g1034,654
g10340,1002
g10341,1206
g10342,225
g10343,624
g10344,7245
g10345,591
g10346,402
g10347,513
g10348,2088
g10349,14724
g1035,357
g10350,240
g10351,480
g10352,462
g10353,699
g10354,669
g10355,1077
g10356,378
g10357,264
g10358,540
g10359,498
g1036,9219
g10360,1374
g10361,2547
g10362,19149
g10363,4668
g10364,2892
g10365,645
g10366,2103
g10367,855
g10368,1932
g10369,444
g1037,915
g10370,810
g10371,534
g10372,435
g10373,318
g10374,768
g10375,1275
g10376,468
g10377,1230
g10378,1614
g10379,612
g1038,546
g10380,597
g10381,561
g10382,1119
g10383,309
g10384,300
g10385,4083
g10386,1185
g10387,1023
g10388,321
g10389,1317
g1039,378
g10390,375
g10391,1062
g10392,2061
g10393,378
g10394,588
g10395,213
g10396,507
g10397,1578
g10398,543
g10399,1326
g104,291
g1040,1248
g10400,426
g10401,729
g10402,555
g10403,474
g10404,579
g10405,345
g10406,300
g10407,684
g10408,288
g10409,426
g1041,873
g10410,2814
g10411,801
g10412,420
g10413,705
g10414,816
g10415,1125
g10416,510
g10417,306
g10418,360
g10419,597
g1042,480
g10420,1320
g10421,705
g10422,396
g10423,747
g10424,4218
g10425,825
g10426,1209
g10427,633
g10428,780
g10429,366
g1043,1695
g10430,663
g10431,696
g10432,402
g10433,951
g10434,399
g10435,576
g10436,1524
g10437,1482
g10438,426
g10439,606
g1044,753
g10440,2367
g10441,378
g10442,300
g10443,687
g10444,624
g10445,852
g10446,1143
g10447,795
g10448,1749
g10449,678
g1045,726
g10450,570
g10451,510
g10452,594
g10453,432
g10454,465
g10455,555
g10456,555
g10457,834
g10458,1215
g10459,303
g1046,483
g10460,579
g10461,303
g10462,354
g10463,465
g10464,417
g10465,462
g10466,525
g10467,486
g10468,285
g10469,420
g1047,1200
g10470,363
g10471,429
g10472,405
g10473,480
g10474,1968
g10475,498
g10476,594
g10477,627
g10478,1119
g10479,648
g1048,1398
g10480,855
g10481,354
g10482,1545
g10483,1158
g10484,1107
g10485,705
g10486,1356
g10487,597
g10488,741
g10489,258
g1049,1992
g10490,720
g10491,639
g10492,531
g10493,639
g10494,576
g10495,465
g10496,594
g10497,753
g10498,1275
g10499,4878
g105,531
g1050,765
g10500,1644
g10501,492
g10502,624
g10503,546
g10504,615
g10505,375
g10506,609
g10507,342
g10508,267
g10509,312
g1051,672
g10510,342
g10511,1596
g10512,924
g10513,549
g10514,762
g10515,1653
g10516,2043
g10517,975
g10518,609
g10519,645
g1052,750
g10520,594
g10521,336
g10522,312
g10523,579
g10524,327
g10525,1944
g10526,387
g10527,2100
g10528,315
g10529,6129
g1053,1077
g10530,1017
g10531,843
g10532,207
g10533,846
g10534,1170
g10535,1566
g10536,1428
g10537,1986
g10538,489
g10539,309
g1054,240
g10540,720
g10541,1332
g10542,300
g10543,654
g10544,648
g10545,1185
g10546,645
g10547,312
g10548,324
g10549,801
g1055,312
g10550,2082
g10551,213
g10552,372
g10553,942
g10554,798
g10555,936
g10556,2019
g10557,711
g10558,261
g10559,1122
g1056,330
g10560,357
g10561,366
g10562,630
g10563,444
g10564,1590
g10565,2808
g10566,465
g10567,1230
g10568,1287
g10569,420
g1057,246
g10570,1479
g10571,363
g10572,498
g10573,567
g10574,567
g10575,1611
g10576,1803
g10577,2391
g10578,348
g10579,1326
g1058,318
g10580,1098
