,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
1,R000093c0g2_i01,1,NA,NAN,NA,NA,NA,NA,NA
2,R000185c0g1_i01,2,g9480,NAN,NA,NA,NA,NA,NA
3,R000865c0g1_i01,1,g31631,Achn,LARP6,La-related protein 6 (Acheron) (Achn) (La ribonucleoprotein domain family member 6),LARP6,RNA processing [GO:0006396]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of mRNA binding [GO:1902416]; positive regulation of translation [GO:0045727],"Regulates the coordinated translation of type I collagen alpha-1 and alpha-2 mRNAs, CO1A1 and CO1A2. Stabilizes mRNAs through high-affinity binding of a stem-loop structure in their 5' UTR. This regulation requires VIM and MYH10 filaments, and the helicase DHX9. "
4,R001575c0g1_i01,2,NA,NAN,NA,NA,NA,NA,NA
5,R001764c0g1_i01,3,g30674,NAN,CHAC1,Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Blocks Notch protein) (Botch) (Cation transport regulator-like protein 1) (Neuroprotective protein 7),Chac1 Botch Npg7,Notch signaling pathway [GO:0007219]; apoptotic process [GO:0006915]; glutathione catabolic process [GO:0006751]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein processing [GO:0010955]; neurogenesis [GO:0022008]; response to unfolded protein [GO:0006986],"Catalyzes the cleavage of glutathione into 5-oxo-L-proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides. Glutathione depletion is an important factor for apoptosis initiation and execution. Acts as a pro-apoptotic component of the unfolded protein response pathway by mediating the pro-apoptotic effects of the ATF4-ATF3-DDIT3/CHOP cascade. Negative regulator of Notch signaling pathway involved in embryonic neurogenesis: acts by inhibiting Notch cleavage by furin, maintaining Notch in an immature inactive form, thereby promoting neurogenesis in embryos. "
6,R001784c0g1_i01,2,g1835,NAN,NA,"Histone H2B, embryonic",NA,nucleosome assembly [GO:0006334],"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling."
7,R002499c0g1_i01,4,g27171,NAN,GMPPB,Mannose-1-phosphate guanyltransferase beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta),CG1129,GDP-mannose biosynthetic process [GO:0009298]; larval lymph gland hemopoiesis [GO:0035167],NA
8,R002769c0g1_i01,5,g30734,NAN,NA,Uncharacterized protein C594.04c,SPCC594.04c,steroid metabolic process [GO:0008202],NA
9,R002985c0g1_i01,5,g29348,NAN,SRD5A2,3-oxo-5-alpha-steroid 4-dehydrogenase 1 (EC 1.3.1.22) (SR type 1) (Steroid 5-alpha-reductase 1) (S5AR 1),Srd5a1,"androgen biosynthetic process [GO:0006702]; androgen catabolic process [GO:0006710]; androgen metabolic process [GO:0008209]; bone development [GO:0060348]; cell differentiation [GO:0030154]; cellular response to cAMP [GO:0071320]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to estradiol stimulus [GO:0071392]; cellular response to growth factor stimulus [GO:0071363]; cellular response to insulin stimulus [GO:0032869]; cellular response to organic cyclic compound [GO:0071407]; cellular response to starvation [GO:0009267]; cellular response to testosterone stimulus [GO:0071394]; cerebral cortex development [GO:0021987]; circadian sleep/wake cycle, REM sleep [GO:0042747]; diterpenoid metabolic process [GO:0016101]; female genitalia development [GO:0030540]; hippocampus development [GO:0021766]; hypothalamus development [GO:0021854]; liver development [GO:0001889]; male genitalia development [GO:0030539]; male gonad development [GO:0008584]; male sex differentiation [GO:0046661]; pituitary gland development [GO:0021983]; progesterone metabolic process [GO:0042448]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; response to follicle-stimulating hormone [GO:0032354]; response to fungicide [GO:0060992]; response to growth hormone [GO:0060416]; response to muscle activity [GO:0014850]; response to organic cyclic compound [GO:0014070]; response to testosterone [GO:0033574]; serotonin metabolic process [GO:0042428]; spinal cord development [GO:0021510]; steroid biosynthetic process [GO:0006694]; thalamus development [GO:0021794]; urogenital system development [GO:0001655]",Converts testosterone into 5-alpha-dihydrotestosterone and progesterone or corticosterone into their corresponding 5-alpha-3-oxosteroids. It plays a central role in sexual differentiation and androgen physiology.
10,R003173c0g1_i01,3,g1924,NAN,NA,Zinc finger protein 239 (Zfp-239) (Zinc finger protein MOK-2),Znf239 Mok-2 Mok2 Zfp239,negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357],May be involved in transcriptional regulation.
